Valentina,Vera,30170921,1982-05-22,6053
Santiago,Álvarez,33936970,1986-04-25,7068
Martina,Borges,21073376,1994-09-01,6293
Joaquin,Valenzuela,23762139,1995-04-10,1502
Juan Ignacio,Pereyra,25829297,1981-09-13,4504
Sofia,Carranza,23391574,1998-07-06,1874
Tomas,Jiménez,24071423,2003-07-23,9555
Bautista,Schapira,38220144,2003-03-18,4352
Mateo,Agüero,29380265,1981-09-07,3347
Catalina,Giménez,37133890,1989-10-02,2041
Benjamin,Martínez,28984059,1992-12-25,509
Agustin,Borges,38254370,1983-06-05,6233
Santino,Marchi,24932324,1987-07-18,3405
Juan Cruz,Pérez,28135861,2004-05-12,3524
Camila,Varela,38654514,1987-09-05,1260
Francisco,Díaz,31641829,2000-05-03,3451
